weatherCondition,item
맑음,"양산, 자외선 크림"
구름,자외선 크림
흐림,자외선 크림
비/눈,"우산, 장화"
눈,"장갑, 핫팩"
빗방울,우산
빗방울/눈나림,우산
눈날림,"장갑, 핫팩"
